,Product Name,Price,Ratings,Reviews
170,"OPPO F27 Pro+ (Midnight Navy, 256 GB)","₹20,999",4.4,"5,143 Ratings & 241 Reviews"
171,"Apple iPhone 16 (Teal, 128 GB)","₹74,900",4.6,"18,966 Ratings & 787 Reviews"
172,"IQOO Z10X 5G (Ultramarine, 128 GB)","₹15,139",4.4,485 Ratings & 26 Reviews
173,"Infinix SMART 9 HD (Neo Titanium, 64 GB)","₹6,699",4.2,"2,661 Ratings & 195 Reviews"
174,Kechaoda A26,₹919,4,"27,755 Ratings & 1,570 Reviews"
175,"vivo T3 5G (Crystal Flake, 256 GB)","₹18,499",4.4,"1,28,249 Ratings & 7,962 Reviews"
176,"vivo T3 5G (Crystal Flake, 128 GB)","₹16,999",4.4,"1,28,249 Ratings & 7,962 Reviews"
177,"vivo T3 5G (Cosmic Blue, 128 GB)","₹16,999",4.4,"1,28,249 Ratings & 7,962 Reviews"
178,"Samsung Galaxy F16 5G (Vibing Blue, 128 GB)","₹11,999",4.2,"2,877 Ratings & 212 Reviews"
179,"OnePlus 13R 5G (Nebula Noir, 256 GB)","₹40,580",4.5,"1,880 Ratings & 149 Reviews"
180,"OnePlus 13R 5G (Nebula Noir, 512 GB)","₹42,685",4.5,712 Ratings & 52 Reviews
181,"OnePlus 13R 5G (Astral Trail, 512 GB)","₹42,729",4.5,712 Ratings & 52 Reviews
182,MOTOROLA A10V DS Keypad Phone with Voice Feature|800 mAh Battery|Wireless FM Recording,"₹1,499",4.1,"7,373 Ratings & 477 Reviews"
183,"OPPO Reno 12 5G (Matte Brown, 256 GB)","₹20,999",4.4,"4,804 Ratings & 325 Reviews"
184,"Motorola g45 5G (Brilliant Blue, 128 GB)","₹10,999",4.3,"44,960 Ratings & 2,823 Reviews"
185,"realme Narzo 80x 5G (Deep Ocean, 128 GB)","₹13,329",4.3,250 Ratings & 5 Reviews
186,Kechaoda A26,₹945,4,"27,755 Ratings & 1,570 Reviews"
187,"POCO X7 5G (Yellow, 256 GB)","₹17,999",4.3,"9,020 Ratings & 888 Reviews"
188,"realme Narzo N61 (Vyage Blue, 64 GB)","₹7,608",4.3,"5,210 Ratings & 250 Reviews"
189,"realme Narzo N61 (Voyage Blue, 128 GB)","₹9,179",4.2,"1,628 Ratings & 65 Reviews"
190,"REDMI A4 5G only on Jio SIM (Sparkle Purple, 64 GB)","₹8,662",4.3,"5,934 Ratings & 300 Reviews"
191,"Infinix Note 50x 5G+ (Enchanted Purple, 128 GB)","₹11,499",4.3,"8,414 Ratings & 901 Reviews"
192,itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice,"₹1,349",4.1,"16,621 Ratings & 1,025 Reviews"
193,"MOTOROLA Edge 60 Fusion 5G (PANTONE Amazonite, 256 GB)","₹24,999",4.5,"15,430 Ratings & 879 Reviews"
194,"REDMI A3X (Ocean Green, 64 GB)","₹6,499",4.1,"4,917 Ratings & 227 Reviews"
195,"REDMI A4 5G only on Jio SIM (Starry Black, 128 GB)","₹9,462",4.3,"5,934 Ratings & 300 Reviews"
196,itel Keypad Mobile | 2.4 inch Display| Type C Charging,"₹1,069",4.1,265 Ratings & 16 Reviews
197,"Apple iPhone 16 (White, 128 GB)","₹74,900",4.6,"18,966 Ratings & 787 Reviews"
198,"Infinix Note 50s 5G+ (Marine Drift, 256 GB)","₹17,999",4.4,"11,541 Ratings & 1,202 Reviews"
199,"Infinix Note 50s 5G+ (Titanium Grey, 256 GB)","₹17,999",4.4,"11,541 Ratings & 1,202 Reviews"
200,"Tecno Pova 6 Neo 5G (Midnight Shadow, 256 GB)","₹13,999",4,274 Ratings & 19 Reviews
201,"Tecno Pova 6 Neo 5G (Azure Sky, 256 GB)","₹13,999",4,274 Ratings & 19 Reviews
202,"Tecno Pova 6 Neo 5G (Azure Sky, 128 GB)","₹11,999",4.3,"1,942 Ratings & 119 Reviews"
203,"Tecno Pova 6 Neo 5G (Aurora Cloud, 128 GB)","₹11,999",4.3,"1,942 Ratings & 119 Reviews"
204,"Tecno Pova 6 Neo 5G (Aurora Cloud, 256 GB)","₹13,999",4,274 Ratings & 19 Reviews
205,Samsung SM-B310EZDDINS,"₹1,150",3.2,"6,276 Ratings & 440 Reviews"
206,"OnePlus Nord CE4 lite 5G (MEGA BLUE, 128 GB)","₹16,819",4.4,"22,440 Ratings & 1,102 Reviews"
207,"Infinix Note 50s 5G+ (Titanium Grey, 128 GB)","₹15,999",4.4,"11,541 Ratings & 1,202 Reviews"
208,"Infinix Note 50s 5G+ (Marine Drift, 128 GB)","₹15,999",4.4,"11,541 Ratings & 1,202 Reviews"
209,"POCO C71 (Cool Blue, 128 GB)","₹6,999",4.1,"4,873 Ratings & 296 Reviews"
210,"realme C63 5G Charger in the Box (Forest Green, 128 GB)","₹10,999",4.5,"3,757 Ratings & 122 Reviews"
211,"IQOO Z10X 5G (Titanium, 128 GB)","₹15,424",4.4,485 Ratings & 26 Reviews
212,"Apple iPhone 16 Plus (Black, 256 GB)","₹94,900",4.6,"2,700 Ratings & 161 Reviews"
213,"Samsung Galaxy S24 Ultra 5G (Titanium Gray, 256 GB)","₹84,799",4.6,"3,121 Ratings & 312 Reviews"
214,"Apple iPhone 16 (Pink, 128 GB)","₹74,900",4.6,"18,966 Ratings & 787 Reviews"
215,"vivo T3 5G (Cosmic Blue, 256 GB)","₹18,499",4.4,"1,28,249 Ratings & 7,962 Reviews"
216,"vivo T3 5G (Cosmic Blue, 256 GB)","₹18,499",4.4,"1,28,249 Ratings & 7,962 Reviews"
217,"POCO M6 Plus 5G (Graphite Black, 128 GB)","₹9,999",4.2,"51,965 Ratings & 3,198 Reviews"
218,itel it2175 Pro | 2 inch Big Display | 1200 mAh Battery | Kingvoice,₹818,4.1,"1,752 Ratings & 82 Reviews"
219,itel it2175 Pro | 2 inch Big Display | 1200 mAh Battery | Kingvoice,₹909,4.1,"1,752 Ratings & 82 Reviews"
220,"OnePlus 13R 5g (Astral Trail, 256 GB)","₹40,997",4.5,"1,880 Ratings & 149 Reviews"
221,"Apple iPhone 16 (Teal, 256 GB)","₹84,900",4.6,"18,966 Ratings & 787 Reviews"
222,"Apple iPhone 15 (Pink, 128 GB)","₹64,900",4.6,"2,60,015 Ratings & 9,350 Reviews"
223,"IQOO Z10X 5G (Ultramarine, 128 GB)","₹13,600",4.4,975 Ratings & 68 Reviews
224,HOTLINE Amaze H310,₹499,3.6,105 Ratings & 16 Reviews
225,"IQOO Z9s 5G (Titanium Matte, 128 GB)","₹18,500",4.4,"7,190 Ratings & 466 Reviews"
226,"Samsung Galaxy M35 5G (Moonlight Blue, 128 GB)","₹14,698",4.4,"22,480 Ratings & 1,860 Reviews"
227,"OPPO F27 Pro+ (Midnight Navy, 256 GB)","₹20,999",4.4,"5,143 Ratings & 241 Reviews"
228,"Infinix Note 50x 5G+ (Sea Breeze Green, 128 GB)","₹12,999",4.3,"2,246 Ratings & 230 Reviews"
229,"OPPO F27 Pro+ (Dusk Pink, 128 GB)","₹18,999",4.4,"5,143 Ratings & 241 Reviews"
230,Kechaoda A26,₹919,4,"27,755 Ratings & 1,570 Reviews"
231,"vivo T3 5G (Crystal Flake, 256 GB)","₹18,499",4.4,"1,28,249 Ratings & 7,962 Reviews"
232,"vivo T3 5G (Cosmic Blue, 128 GB)","₹16,999",4.4,"1,28,249 Ratings & 7,962 Reviews"
233,"vivo T3 5G (Crystal Flake, 128 GB)","₹16,999",4.4,"1,28,249 Ratings & 7,962 Reviews"
234,"Apple iPhone 16 (Teal, 128 GB)","₹74,900",4.6,"18,966 Ratings & 787 Reviews"
235,"Infinix SMART 9 HD (Neo Titanium, 64 GB)","₹6,699",4.2,"2,661 Ratings & 195 Reviews"
236,"Samsung Galaxy F16 5G (Vibing Blue, 128 GB)","₹11,999",4.2,"2,877 Ratings & 212 Reviews"
237,"OnePlus 13R 5G (Nebula Noir, 256 GB)","₹40,580",4.5,"1,880 Ratings & 149 Reviews"
238,"OnePlus 13R 5G (Nebula Noir, 512 GB)","₹42,685",4.5,712 Ratings & 52 Reviews
